2026-01-16 13:23:12 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:13 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:14 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:15 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:16 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:17 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:18 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:18 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:18 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:18 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:18 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:19 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:20 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:20 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
